quality,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
6,8.30,0.280,0.40,7.80,0.041,38.0,194.0,0.9976,3.34,0.51,9.6
6,8.20,0.270,0.39,7.80,0.039,49.0,208.0,0.9976,3.31,0.51,9.5
6,7.20,0.230,0.38,14.30,0.058,55.0,194.0,0.9979,3.09,0.44,9
6,7.20,0.230,0.38,14.30,0.058,55.0,194.0,0.9979,3.09,0.44,9
6,7.20,0.230,0.38,14.30,0.058,55.0,194.0,0.9979,3.09,0.44,9
6,7.20,0.230,0.38,14.30,0.058,55.0,194.0,0.9979,3.09,0.44,9
6,6.80,0.520,0.32,13.20,0.044,54.0,221.0,0.9972,3.27,0.50,9.6
7,7.00,0.260,0.59,1.40,0.037,40.0,120.0,0.9918,3.34,0.41,11.1
6,6.20,0.250,0.21,15.55,0.039,28.0,159.0,0.9982,3.48,0.64,9.6
5,7.30,0.320,0.23,13.70,0.050,49.0,197.0,0.9985,3.20,0.46,8.7
5,7.70,0.310,0.26,7.80,0.031,23.0,90.0,0.9944,3.13,0.50,10.4
7,7.10,0.210,0.37,2.40,0.026,23.0,100.0,0.9903,3.15,0.38,11.4
6,6.80,0.240,0.34,2.70,0.047,64.5,218.5,0.9934,3.30,0.58,9.7
5,6.90,0.400,0.56,11.20,0.043,40.0,142.0,0.9975,3.14,0.46,8.7
6,6.10,0.180,0.36,2.00,0.038,20.0,249.5,0.9923,3.37,0.79,11.3
7,6.80,0.210,0.27,2.10,0.030,26.0,139.0,0.99,3.16,0.61,12.6
7,5.80,0.200,0.27,1.40,0.031,12.0,77.0,0.9905,3.25,0.36,10.9
7,5.60,0.190,0.26,1.40,0.030,12.0,76.0,0.9905,3.25,0.37,10.9
5,6.10,0.410,0.14,10.40,0.037,18.0,119.0,0.996,3.38,0.45,10
4,5.90,0.210,0.28,4.60,0.053,40.0,199.0,0.9964,3.72,0.70,10
3,8.50,0.260,0.21,16.20,0.074,41.0,197.0,0.998,3.02,0.50,9.8
5,6.90,0.400,0.56,11.20,0.043,40.0,142.0,0.9975,3.14,0.46,8.7
3,5.80,0.240,0.44,3.50,0.029,5.0,109.0,0.9913,3.53,0.43,11.7
6,5.80,0.240,0.39,1.50,0.054,37.0,158.0,0.9932,3.21,0.52,9.3
8,6.70,0.260,0.39,1.10,0.040,45.0,147.0,0.9935,3.32,0.58,9.6
7,6.30,0.350,0.30,5.70,0.035,8.0,97.0,0.9927,3.27,0.41,11
7,6.30,0.350,0.30,5.70,0.035,8.0,97.0,0.9927,3.27,0.41,11
6,6.40,0.230,0.39,1.80,0.032,23.0,118.0,0.9912,3.32,0.50,11.8
4,5.80,0.360,0.38,0.90,0.037,3.0,75.0,0.9904,3.28,0.34,11.4
6,6.90,0.115,0.35,5.40,0.048,36.0,108.0,0.9939,3.32,0.42,10.2
5,6.90,0.290,0.40,19.45,0.043,36.0,156.0,0.9996,2.93,0.47,8.9
5,6.90,0.280,0.40,8.20,0.036,15.0,95.0,0.9944,3.17,0.33,10.2
6,7.20,0.290,0.40,13.60,0.045,66.0,231.0,0.9977,3.08,0.59,9.6
6,6.20,0.240,0.35,1.20,0.038,22.0,167.0,0.9912,3.10,0.48,10.6
5,6.90,0.290,0.40,19.45,0.043,36.0,156.0,0.9996,2.93,0.47,8.9
6,6.90,0.320,0.26,8.30,0.053,32.0,180.0,0.9965,3.25,0.51,9.2
5,5.30,0.580,0.07,6.90,0.043,34.0,149.0,0.9944,3.34,0.57,9.7
6,5.30,0.585,0.07,7.10,0.044,34.0,145.0,0.9945,3.34,0.57,9.7
6,5.40,0.590,0.07,7.00,0.045,36.0,147.0,0.9944,3.34,0.57,9.7
6,6.90,0.320,0.26,8.30,0.053,32.0,180.0,0.9965,3.25,0.51,9.2
5,5.20,0.600,0.07,7.00,0.044,33.0,147.0,0.9944,3.33,0.58,9.7
5,5.80,0.250,0.26,13.10,0.051,44.0,148.0,0.9972,3.29,0.38,9.3
5,6.60,0.580,0.30,5.10,0.057,30.0,123.0,0.9949,3.24,0.38,9
5,7.00,0.290,0.54,10.70,0.046,59.0,234.0,0.9966,3.05,0.61,9.5
6,6.60,0.190,0.41,8.90,0.046,51.0,169.0,0.9954,3.14,0.57,9.8
6,6.70,0.200,0.41,9.10,0.044,50.0,166.0,0.9954,3.14,0.58,9.8
5,7.70,0.260,0.40,1.10,0.042,9.0,60.0,0.9915,2.89,0.50,10.6
4,6.80,0.320,0.34,1.20,0.044,14.0,67.0,0.9919,3.05,0.47,10.6
7,7.00,0.300,0.49,4.70,0.036,17.0,105.0,0.9916,3.26,0.68,12.4
8,7.00,0.240,0.36,2.80,0.034,22.0,112.0,0.99,3.19,0.38,12.6
8,6.10,0.310,0.58,5.00,0.039,36.0,114.0,0.9909,3.30,0.60,12.3
4,6.80,0.440,0.37,5.10,0.047,46.0,201.0,0.9938,3.08,0.65,10.5
5,6.70,0.340,0.30,15.60,0.054,51.0,196.0,0.9982,3.19,0.49,9.3
5,7.10,0.350,0.24,15.40,0.055,46.0,198.0,0.9988,3.12,0.49,8.8
5,7.30,0.320,0.25,7.20,0.056,47.0,180.0,0.9961,3.08,0.47,8.8
6,6.50,0.280,0.33,15.70,0.053,51.0,190.0,0.9978,3.22,0.51,9.7
7,7.20,0.230,0.39,14.20,0.058,49.0,192.0,0.9979,2.98,0.48,9
7,7.20,0.230,0.39,14.20,0.058,49.0,192.0,0.9979,2.98,0.48,9
7,7.20,0.230,0.39,14.20,0.058,49.0,192.0,0.9979,2.98,0.48,9
7,7.20,0.230,0.39,14.20,0.058,49.0,192.0,0.9979,2.98,0.48,9
6,5.90,0.150,0.31,5.80,0.041,53.0,155.0,0.9945,3.52,0.46,10.5
5,7.40,0.280,0.42,19.80,0.066,53.0,195.0,1,2.96,0.44,9.1
7,6.20,0.280,0.22,7.30,0.041,26.0,157.0,0.9957,3.44,0.64,9.8
3,9.10,0.590,0.38,1.60,0.066,34.0,182.0,0.9968,3.23,0.38,8.5
6,6.30,0.330,0.27,1.20,0.046,34.0,175.0,0.9934,3.37,0.54,9.4
